product_name,orderid,orderdate,status
"Butterfly Rapid Omni Tawa 250 MM Induction Base Tawa 25 cm diameter  (Aluminium, Non-stick, Induction Bottom)",ORD10217,2025-06-05,in-progress
Tik Tok WEARS Legging For Girls  (Multicolor Pack of 5),ORD10218,2025-03-02,shipped
Super Hedphone D12-head-001 Smart Headphones  (Wireless),ORD10219,2025-08-14,shipped
Labbin Sneakers For Men  (White),ORD10220,2025-06-28,shipped
Wilson Enterprise Edge & Corner Guard for Baby Proofing | Child Safety Furniture Bumper | Table Protectors |  (Purple),ORD10221,2025-03-25,in-progress
ANGITA Women Chikan Embroidery Cotton Rayon A-line Kurta  (Purple),ORD10222,2025-05-20,delivered
windowera NO DRILL REQUIRE / EASY STICK MIRROR / BATHROOM MIRROR Bathroom Mirror  (Rectangle),ORD10223,2025-03-20,in-progress
"Sairakesh Green Packing Paper Bags | Eco-Friendly Bags (16 X 12, inner 15.5 X11.5 inches) Security Bag  (12 x 16 Pack of 100)",ORD10224,2025-08-04,in-progress
SPPIF Women Black Bellies Sandal,ORD10225,2025-04-29,delivered
KETAKI FASHION Women Printed Crepe Straight Kurta  (Blue),ORD10226,2025-11-04,delivered
RADHIKA GROUP Lace Running Shoes For Boys & Girls  (Black),ORD10227,2024-11-19,shipped
DDARSH ENTERPRISE Air Stripes Travel Pillow Pack of 5  (Blue),ORD10228,2025-08-06,delivered
SYGA Set of 4 Transparent Children's Table Bed Corner(Transparent Waterdrop Corner)  (Transparent),ORD10229,2025-01-06,in-progress
LYNETH Round Neck Women Blouse,ORD10230,2025-03-07,shipped
GIVA Sterling Silver Rose Gold Pinnacle Pendant with Link Chain for Women and Girls Rhodium Zircon Sterling Silver Pendant,ORD10231,2025-01-23,shipped
"Metaphysical Poetry  (English, Paperback, unknown)",ORD10232,2025-03-24,delivered
Wakefit Amoeba Double Solid Wood Sofa Bed  (Finish Color - Malibu Green Mechanism Type - Fold Out Delivery Condition - Pre-assembled),ORD10233,2024-11-25,shipped
"VANIYA CRAFTS Hand Carved Wall Mounted floating Shelf |Wall Bracket For Living Room Home Decor MDF (Medium Density Fiber) Wall Shelf  (Number of Shelves - 1, Brown)",ORD10234,2025-07-05,shipped
Sparx Slippers  (Black 10),ORD10235,2025-11-12,in-progress
"Jump Cuts Boys Typography Pure Cotton T Shirt  (Black, Pack of 1)",ORD10236,2025-05-24,delivered
"omkar fashion Silk Blend Woven, Self Design Pink Women Dupatta",ORD10237,2024-12-10,shipped
Attis Vogue Baby Boys & Baby Girls Casual T-shirt Pant  (White),ORD10238,2025-02-06,delivered
WRAPSTERS Men Checkered V Neck Multicolor Sweater,ORD10239,2025-10-19,in-progress
"KAEZRI Men Evening, Party, Formal, Casual Brown Genuine Leather Belt",ORD10240,2025-02-09,shipped
"THE MAN COMPANY Daily Moisturising cream, Shea Butter & Vitamin E  (50 g)",ORD10241,2025-07-09,shipped
Breil By Fort Collins Men Solid Quilted Jacket,ORD10242,2025-04-24,shipped
SONATA 87037PL01W Analog Watch  - For Women,ORD10243,2025-05-15,shipped
Ionic Glass Wallchiere Wall Lamp Without Bulb  (Pack of 2),ORD10244,2025-05-13,delivered
"DreamFit 22 kg Home gym with 3ft Straight , 3ft Curl Rod , pair of 2 kg PVC hex Dumbbells Home Gym Kit",ORD10245,2025-03-17,in-progress
Buddsbuddy Silicone Compact Breast Pump  - Manual  (Blue),ORD10246,2025-05-18,in-progress
"Nerf Alpha Strike Mantis LR-1 Dart Blaster with Targeting Scope, 5 Elite Foam Darts - Easy Load Prime Fire Guns & Darts  (Multicolor)",ORD10247,2025-08-07,delivered
"Farex Stage 3  (400 g, 12+ Months)",ORD10248,2025-10-07,in-progress
"PHILIPS HP8142/00 Hair Dryer  (1000 W, Blue)",ORD10249,2025-09-01,delivered
V2 KART Men Pyjama,ORD10250,2024-12-19,delivered
"Flipkart SmartBuy Hot Chef GREEN Pack of 3 Thermoware Casserole Set  (530 ml, 1000 ml, 1900 ml)",ORD10251,2025-03-26,in-progress
"Sparx Men Olive, Black Sandal",ORD10252,2025-05-29,shipped
XXTRENDZ Brief For Boys  (Multicolor Pack of 6),ORD10253,2025-10-09,shipped
Jump Cuts Men Cargos,ORD10254,2025-06-07,delivered
"Safa USB Type C Cable 3 A 0.99 m 18W_30W FAST CHARGING CABLE 3A SUPPORT OPPO,REALME,REDMI,POCO,VIVO,MOTOROLA,  (Compatible with SAMSUNG, NOKIA, ASUS, LENOVO, HONOR, INFINIX, TECNO, MICROMAX, LAVA, GIONEE /, White)",ORD10255,2025-03-09,in-progress
Mother Sparsh Baby Liquid Bottle Cleanser 175ml Liquid Detergent  (175 ml),ORD10256,2025-03-15,delivered
Saffola Fittify Vegan Protein Peanut Butter Extra Crunchy 340 g,ORD10257,2025-08-21,in-progress
LetsShave Balls and Body Trimmer Plus for Groin & Pubic Hair Area with Shaver Head for men Grooming Kit 90 min  Runtime 5 Length Settings  (Green),ORD10258,2025-08-28,shipped
ZEEL Solid Men Raincoat,ORD10259,2025-02-21,delivered
"One Friday Baby Girls Below Knee Festive/Wedding Dress  (Pink, Full Sleeve)",ORD10260,2025-08-22,in-progress
"AUTOSITE v4.1 Car Bluetooth Device with MP3 Player, Audio Receiver  (Black)",ORD10261,2025-10-19,in-progress
SIRONA Blink & Glow Reusable Eyebrow & Face Razor for Women  (Pack of 2),ORD10262,2025-10-31,in-progress
"DENVER Hamilton, Prestige and Caliber Combo Deodorant Spray  -  For Men  (600 ml, Pack of 3)",ORD10263,2025-01-16,in-progress
"RG7 230 W Decorative B22 LED Bulb  (White, Pack of 2)",ORD10264,2025-06-14,delivered
Titan 2660SM01 Analog Watch  - For Women,ORD10265,2025-01-12,shipped
"CG Homes 160 TC Microfiber Single Printed Flat Bedsheet  (Pack of 1, Blue Beige Multi)",ORD10266,2025-09-02,delivered
Bata Boss-Rig Lace Up For Men  (Black),ORD10267,2024-11-25,shipped
"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Specter Green With Speckles, 2.65 kg, With MS Office)",ORD10268,2025-04-29,shipped
"Eye Bhaskar Night Bulb Hi Power Solar Rechargeable Table Lamp  (23.5 cm, White)",ORD10269,2025-10-28,delivered
ORAIMO 2.4 A Multiport Mobile OCW-I64DN Charger with Detachable Cable  (Black),ORD10270,2024-12-26,delivered
"Achintya Multicolor Velvet Carpet  (152 cm,  X 213 cm, Rectangle)",ORD10271,2025-05-29,in-progress
"DISNEY BY MISS & CHIEF Girls Printed Cotton Blend T Shirt  (Multicolor, Pack of 3)",ORD10272,2025-03-22,shipped
"Mogra Agarbatti Incense Sticks Pooja agarbatti Mogra  (1000, Set of 1)",ORD10273,2025-04-18,in-progress
Dollar Bigboss Pack of 3 Men Vest,ORD10274,2025-01-31,delivered
Mobilive Camera Lens Protector for Oneplus Nord CE 2 Lite Full Curved 5D Lens Glass Protector  (Pack of 1),ORD10275,2025-01-13,delivered
SAFARI Large Check-in Suitcase (75 cm) - ECLIPSE 4W - Black,ORD10276,2025-05-08,in-progress
"Herbalife Nutrition Afresh Energy Drink Mix Cinnamon Energy Drink  (50 g, Cinnamon Flavored)",ORD10277,2025-06-20,shipped
"RG7 230 W Decorative B22 LED Bulb  (White, Pack of 6)",ORD10278,2025-05-17,shipped
"ABYS 100% Genuine Leather Card Holder Wallet For Men & Women-Girl;s & Boy's 10 Card Holder  (Set of 1, Brown)",ORD10279,2025-03-27,in-progress
INDIAN TERRAIN Boys Regular Fit Solid Casual Shirt,ORD10280,2025-08-17,in-progress
Baggit Women Black Tote,ORD10281,2024-11-20,delivered
JRD Lab Coat  (Poly Cotton),ORD10282,2024-11-25,delivered
Flipkart SmartBuy Wall Stickers Living Room Butterflies and Photo Frames Design Self Adhesive Extra Large Self Adhesive Sticker  (Pack of 1),ORD10283,2025-09-14,shipped
"Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)",ORD10284,2025-04-07,delivered
"MeeMee Pampering Gift Set for New Born (8 Pieces, Red)  (Red)",ORD10285,2024-12-07,in-progress
"Fire-Boltt Ninja Bell Bluetooth Calling & AI Voice Assistance Smartwatch Smartwatch  (Grey Strap, Free Size)",ORD10286,2025-07-08,in-progress
"HK CREATION 210 cm (6.89 ft) Polyester Semi Transparent Door Curtain (Pack Of 2)  (Self Design, White)",ORD10287,2024-11-29,in-progress
"BLUE TYGA Printed Women Black, White Culotte Shorts",ORD10288,2025-08-19,delivered
Toyporium Avenger Toy Set Super Hero Avenger Kids Toy Set of 5 Super Hero Action Figure for Boys Kids Children Best Gift for Birthday ( Multicolor)  (Multicolor),ORD10289,2025-05-06,shipped
Ladwa LSI - Helmet - ONP10 Safety Helmet Head Protection for Outdoor Work Head Safety Hat Construction Helmet  (Size - Free),ORD10290,2025-05-04,delivered
"PROWL by TIGER SHROFF Boost 700 ml Shaker  (Pack of 1, Blue, Plastic)",ORD10291,2025-08-22,delivered
Joyalukkas 22kt Yellow Gold Chain Long and Short Chain Yellow Gold Precious Chain  (22kt),ORD10292,2025-08-17,in-progress
"Home Sizzler 275 cm (9.02 ft) Polyester Semi Transparent Long Door Curtain (Pack Of 2)  (Floral, Brown)",ORD10293,2025-09-03,in-progress
"Cello Duro Tuff Steel Kent DTP Coating Double Walled Stainless Steel 900 ml Bottle  (Pack of 1, Black, Steel)",ORD10294,2025-06-11,shipped
3BROS Baby Boys & Baby Girls Casual Shirt Pyjama  (Blue),ORD10295,2024-12-11,in-progress
Chrome & Coral Men Co-ords Black Colorblock,ORD10296,2025-05-09,in-progress
"DUDAO 3.1 Amp Qualcomm Certified Turbo Car Charger  (White, With USB Cable)",ORD10297,2025-10-29,shipped
"Oliveware Executive Micro Safe Lunch Box | Microwave Safe | Steel Cutlery | Insulated Bag 3 Containers Lunch Box  (1520 ml, Thermoware)",ORD10298,2025-11-17,delivered
Branko 32 GB Metal Body Pen Drive 32 GB Pen Drive  (Silver),ORD10299,2025-10-26,in-progress
"Kexmon Bluetooth Sunglasses  (Smart Glasses, Black)",ORD10300,2025-03-29,shipped
AquaDart Water Purity Tester Pocket Digital Handheld For RO Filter Purifier Water Quality Check TDS Meter Digital TDS Meter,ORD10301,2025-09-20,in-progress
AJANTA Casual Loafers For Men  (Black),ORD10302,2025-03-28,delivered
DIMMY Men Solid Cotton Blend Straight Kurta  (Black),ORD10303,2025-04-05,delivered
Kuchipoo Girls Full Sleeve Printed Hooded Sweatshirt,ORD10304,2025-03-04,delivered
KANGAROO 1 Chain Lube and cleaner Chain Oil  (0.5 L),ORD10305,2024-12-16,shipped
"Castrol Activ 4T 20W-40 Petrol Synthetic Blend Engine Oil  (0.9 L, Pack of 1)",ORD10306,2025-08-07,shipped
"ACTIVA 50kg weighing scale GRILL,Double display weight machine for shop,MS 5gram Weighing Scale  (BLACK GRILL)",ORD10307,2024-11-29,shipped
Durafit Ranger 3.5 HP (Peak 7.0 HP) DC Motorized Treadmill,ORD10308,2025-06-17,in-progress
"TP-Link AC1200 Wi-Fi Router Full Gigabit Dual Band Archer C6U 1200 Mbps Wireless Router  (Black, Dual Band)",ORD10309,2025-01-31,delivered
aadi Mesh| Ultralightweight| Premiun| Comfort| Summer Tendy| Outdoor| Boots For Men  (Khaki),ORD10310,2025-02-22,delivered
FOSSIL JR1487I Nate Analog Watch  - For Men,ORD10311,2025-01-29,in-progress
Mia by Tanishq Yellow Gold 14kt Drop Earring,ORD10312,2024-12-10,shipped
Pigeon Gas Stove Combo - Brunet 3 Burner Gas Cooktop + Flat tawa 250 + Fry Pan 240 Stainless Steel Manual Gas Stove  (3 Burners),ORD10313,2025-05-07,shipped
"TRIPR Men Printed Black, Red Track Pants",ORD10314,2025-03-30,delivered
"Goodrik 140 TC Cotton Double 3D Printed Flat Bedsheet  (Pack of 1, Brown)",ORD10315,2025-01-29,shipped
MANAN kitchen/dining towel/napkin Multicolor Cloth Napkins  (12 Sheets),ORD10316,2025-09-02,shipped
"yashika Unstitched Crepe Salwar Suit Material Solid, Floral Print, Printed, Geometric Print",ORD10317,2024-12-02,delivered
Dee Fit High quality PVC 10kg Hexa Dumbbell each dumbbell is 5+5kg Fixed Weight Dumbbell  (10 kg),ORD10318,2025-01-14,in-progress
BARBIE Camping Chelsea  (Multicolor),ORD10319,2025-10-21,in-progress
Dabur Gulabari Premium Rose Water Women  (250 ml),ORD10320,2025-05-19,delivered
Diamond Style Embroidered Sherwani,ORD10321,2025-04-08,in-progress
SAT Striped Multicolor Lungi,ORD10322,2025-11-10,in-progress
"Alison Kids Konggi Rabbit bag for kids, cartoon Bag, Soft Bag, (Batman) Plush Bag  (Pink, White, 10 L)",ORD10323,2025-10-06,in-progress
"Hometown Bolton Engineered Wood Queen Box Bed  (Finish Color - Dark Wenge, Delivery Condition - Knock Down)",ORD10324,2025-11-10,delivered
"Trixzoom Solid Ultimate Pastel Rose Gold Happy Birthday Decoration Set - 119 Pcs Kit - Rosegold Happy Birthday, Pastel & Metallic Balloons, Heart Shape Balloons, Tassels, Pump & LED Lights Balloon Bouquet  (Multicolor, Pack of 119)",ORD10325,2025-04-24,delivered
"How to Win Friends and Influence People  - The First and Still the Best Book of Its kind on Self-Help with 1 Disc  (English, Paperback, unknown)",ORD10326,2025-09-13,delivered
Irayz Full Rim Oval Anti Glare Frame For Men  (48 mm),ORD10327,2024-12-12,shipped
"DecorSecrets Premium Air bed PVC (Polyvinyl Chloride) With Manual Air Pump Velvet 2 Seater Inflatable Sofa  (Color - blue, DIY(Do-It-Yourself))",ORD10328,2025-04-08,delivered
SONATA NP7987YL01W Analog Watch  - For Men,ORD10329,2025-10-09,delivered
Whiskas Kitten (2-12 months) Fish 1.1 kg Dry Young Cat Food,ORD10330,2025-08-16,in-progress
ULTRAVIOLET Men Co-ords Multicolor Printed,ORD10331,2025-01-08,shipped
"iVBOX Magic-28cm induction 3mm Thick Non Stick Tawa For Dosa and Roti Tawa 28 cm diameter  (Aluminium, Non-stick, Induction Bottom)",ORD10332,2025-02-21,delivered
"WEBKREATURE Back Cover for Vivo Y16  (Brown, Dual Protection, Pack of: 1)",ORD10333,2024-11-26,shipped
LIYANSH Posture corrector belt for men and women for back pain Back Support  (Black),ORD10334,2025-02-14,in-progress
LIVVIE Women Regular Fit White Pure Cotton Trousers,ORD10335,2025-04-04,shipped
XTRENGTH Edge To Edge Tempered Glass for Vivo V25 Pro  (Pack of 1),ORD10336,2025-09-10,shipped
miniPRICE Women Brown Tote,ORD10337,2025-04-02,in-progress
maitra Avengers 4 set of 5 superheroes Action Figures Toy for Kids  (Multicolor),ORD10338,2024-12-18,shipped
"oxbeery Pack of 3 Girls Sports Non Padded Bra  (Red, Black, Pink)",ORD10339,2024-11-18,in-progress
"Thiwa Coffee and tea Lover's 1st Preferable Choice foldeble Lid Plastic, Stainless Steel Coffee Mug  (300 ml, Pack of 2)",ORD10340,2024-11-25,delivered
FASHION VELLY Baby Boys & Baby Girls Party(Festive) Jacket Pant  (Dark Blue),ORD10341,2025-10-06,delivered
NEGLIGEE Art Silk Self Design Multicolor Women Dupatta,ORD10342,2025-06-21,in-progress
BLIVE Men Colorblock Multicolor Track Pants,ORD10343,2025-04-23,delivered
aadi Synthetic| Lightweight| Premiun| Comfort| Summer Tendy| Outdoor| Boots Boots For Men  (Brown),ORD10344,2025-02-24,shipped
PARTY MIDLINKERZ Happy Birthday Balloons Party Decoration Kit items 44Pcs combo set decor for HBD  (Set of 46),ORD10345,2025-11-15,in-progress
"HIKVISION 4 Channal TURBO HD DVR 1080p 1Pcs,Outdoor Camera 2 MP 3Pcs,Indoor Camera 2 MP 1Pcs,1 TB Hard Disk,Full combo set Security Camera  (1 TB, 4 Channel)",ORD10346,2025-07-24,in-progress
SPEACK DIVINE LUCNH BOX 2 Containers Lunch Box  (400 ml),ORD10347,2025-03-14,in-progress
Fasla Pack of 3 Solid Women Black Cycling Shorts,ORD10348,2025-09-05,delivered
Dollar Bigboss Pack of 2 Printed Men Trunk,ORD10349,2025-07-10,delivered
"Slurrp Farm Ragi Tiffin Combo Pack of 5 | Beetroot Dosa Mix, No Maida Chocolate Pancake Mix and Pack of 3 Non Fried Ragi Puffs (Chocolate, Cheese & Tomato) Combo  (360gM)",ORD10350,2024-12-15,delivered
"yashika Unstitched Crepe Salwar Suit Material Solid, Floral Print, Printed, Geometric Print",ORD10351,2025-10-14,shipped
"DeoDap 3 Different Size and color Multipurpose Food Snack Plastic Bag Clip Sealer/Packet Sealer Clamps/Manual Vacuum Bag Sealer Small, medium, large Plastic food clips (Set of 18, Multicolor) Manual Vacuum Bag Sealer",ORD10352,2025-10-04,shipped
Artvibes Astronaut in Space Wooden Premium Puzzles for Kids 19 Pieces Puzzle (PZ_709N)  (19 Pieces),ORD10353,2025-07-07,delivered
ADONYX Baby Boys & Baby Girls Casual T-shirt Pant  (Black),ORD10354,2025-08-31,in-progress
"BRUT Original Deodorant Spray for Men Deodorant Spray  -  For Men  (400 ml, Pack of 2)",ORD10355,2025-05-16,in-progress
COLOFLY Three Fold Ep Mattress 2 inch Single Cotton Mattress  (L x W: 72 inch x 35 inch),ORD10356,2025-11-13,delivered
"SPEEDEX Stainless Steel Baby Feeding Bottle with Internal ML Marking, Silicon Stopper & Silicon Grip (240 ml) (3 Extra Nipple Free) - 240 ml  (Silver, Blue)",ORD10357,2025-08-30,shipped
AASK Women Pleated Green Dress,ORD10358,2025-04-10,shipped
Sebamed kids Cleansing bar for delicate skin - Pack of 1(100g)  (100 g),ORD10359,2025-08-23,in-progress
"Flipkart SmartBuy FSB-Matt_Black 6 Card Holder  (Set of 1, Black)",ORD10360,2025-03-12,in-progress
KOTTY Women Flared Mid Rise Blue Jeans,ORD10361,2025-03-23,delivered
Cadbury Dairy Milk Silk Fruits and Nut Chocolate Bars  (8 x 55 g),ORD10362,2025-06-26,in-progress
SRE SRE_0027 Wooden Spatula  (Pack of 7),ORD10363,2025-07-22,delivered
"Flipkart SmartBuy Dual-1111 Wifi Stand (WB) Wooden Wall Shelf  (Number of Shelves - 2, Brown)",ORD10364,2024-12-31,delivered
METRONAUT Men Striped Crew Neck Dark Green Sweater,ORD10365,2024-11-20,delivered
"RG7 230 W Decorative B22 LED Bulb  (White, Pack of 3)",ORD10366,2025-05-19,shipped
Tripole Shivalik -10°C Comfort Sleeping Bag  (Green),ORD10367,2025-05-18,in-progress
Aashirwad Creations 50 pack of Economy 60 Microns 12 x 14 with POD Courier Bag for Shipping/Packing Security Bag  (12 x 14 Pack of 50),ORD10368,2025-06-12,delivered
"KL Collection Boys Festive & Party Kurta, Churidar & Dupatta Set  (White Pack of 1)",ORD10369,2025-11-16,delivered
PETER ENGLAND Men Pyjama,ORD10370,2025-03-27,shipped
Dilox bags 40 L Strolley Duffel Bag - 22 inch/55 cm Lightweight Waterproof Luggage Travel Duffel Bag with two wheels - Red - Regular Capacity,ORD10371,2025-06-21,shipped
Happilo Premium Afghani Seedless Black Raisins  (250 g),ORD10372,2025-10-16,shipped
"F A T A H Churidar  Ethnic Wear Legging  (Red, White, Solid)",ORD10373,2025-06-18,in-progress
PUMA Agile Trip Wn's Running Shoes For Women  (Blue),ORD10374,2025-07-06,delivered
INDICLUB Solid Men Black Sports Shorts,ORD10375,2025-07-25,in-progress
"asian Firefly-05 Pink Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women  (Pink)",ORD10376,2025-04-30,in-progress
"MamaEarth Natural Anti Mosquito Body Roll On, 40ml  (40 ml)",ORD10377,2025-08-16,shipped
Fresh Up 3 Seater Sofa cum Bed Jute Fabric 72x36x14 Inches with 3 Cushion Cover Double Sofa Bed  (Finish Color - Dark Grey Mechanism Type - Fold Out Delivery Condition - Pre-assembled),ORD10378,2025-08-27,in-progress
"ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) F571GT-HN1062T Gaming Laptop  (15.6 inch, Star Black, 2.14 kg)",ORD10379,2025-04-04,delivered
MXSOX Men Ankle Length  (Pack of 3),ORD10380,2024-11-29,delivered
PUMA Small 19 L Backpack Echo Pl  (Black),ORD10381,2025-04-12,in-progress
Chicco NEW SOFTENER DELICATE FLOWERS  (750 ml),ORD10382,2025-06-14,delivered
FUBAR Men Slim Fit Black Cotton Blend Trousers,ORD10383,2025-08-20,delivered
Muffy Solid Men Track Suit,ORD10384,2025-02-13,delivered
Atharv Decor Pendants Ceiling Lamp  (Black),ORD10385,2025-05-13,in-progress
"WoodCart 3 Compartments H@ndmade Wooden Desk Organizer, Wooden Tea Coaster/ Coasters Set of 6, Pen Stand, Business Card Holder With Brass Work Office Table Accessories Office Set  (Brown, Gold)",ORD10386,2025-04-29,delivered
Kamiliant by American Tourister Medium Check-in Suitcase (68 cm) - Kam Triprism Sp - Black,ORD10387,2025-08-17,shipped
"Flipkart Perfect Homes Studio 3 Door 8 Shelf Carbon Steel Collapsible Wardrobe  (Finish Color - Chocolate Brown, DIY(Do-It-Yourself))",ORD10388,2024-11-27,in-progress
WoodCart 1 Compartments Handmade Wooden Tissue Box Napkin Holder Cover with Brass Inlay & Velvet Interior 9 Inch Full Brass Tissue Box  (Brown),ORD10389,2025-08-19,delivered
Third Eye Shiv trishul rduraksha mala original panchmukhi rudraksha With Mahakal Kada Brass Chain,ORD10390,2025-06-16,delivered
"Plantex GI Steel Self-Adhesive Bathroom Shelf with Hooks for Bathroom - Multipurpose Steel Wall Shelf  (Number of Shelves - 1, Black)",ORD10391,2024-12-18,delivered
StarsOne Spiderman Gloves with Disc Launcher web shooter spiderman Action Figure Super Hero Disc Launcher Single Hand glove Toy Set spider-man disk launcher Character Toys  (Red),ORD10392,2025-05-03,delivered
"LuvLap Ultra Thin Honeycomb Nursing Breast Pads, 24pcs, Disposable, High Absorbent, Nursing Breast Pad  (Pack of 24)",ORD10393,2025-04-06,in-progress
"URBANMONK Creative soap Box stand for Bathroom, Kitchen, Bathtub, Wash basins, Pack of 2.  (Grey, Blue)",ORD10394,2025-01-23,delivered
Sukkhi Sukkhi Traditional Gold Plated Rope Chain for Men Gold-plated Plated Alloy Chain,ORD10395,2025-03-06,in-progress
CASIO D127 Vintage ( LA680WGA-9BDF ) Digital Watch  - For Men & Women,ORD10396,2025-10-24,delivered
dermawear Women Shapewear,ORD10397,2025-03-08,shipped
Coo Coo Baby Pullup Diaper Pants - M  (72 Pieces),ORD10398,2025-04-05,in-progress
SONATA NN8080BM01 NP8080BM01 Analog Watch  - For Women,ORD10399,2025-08-04,delivered
MMTC-PAMP India Pvt Ltd S 9999 20 g Silver Bar,ORD10400,2025-04-07,in-progress
SONATA NN8080BM01 NP8080BM01 Analog Watch  - For Women,ORD10401,2025-05-17,delivered
NIKON AF-S DX NIKKOR 35 mm f/1.8G   Lens  (Black),ORD10402,2025-03-26,shipped
Third Eye Sterling Silver Plated Sterling Silver Layered,ORD10403,2024-12-27,delivered
"Good Day Grace-3Pcsgiftset Pack of 3 Serve Casserole Set  (500 ml, 1000 ml, 1500 ml)",ORD10404,2025-04-01,delivered
"Bluedrum Car Mobile Holder for Windshield, Dashboard  (Gold)",ORD10405,2025-02-14,shipped
MANIAC Women Full Sleeve Solid Hooded Sweatshirt,ORD10406,2025-03-14,in-progress
FOSSIL FS4795 Analog Watch  - For Men,ORD10407,2025-08-01,in-progress
Shozie Stylish Walking Partywear Sneakers Casual Shoes Sneakers For Women  (Multicolor),ORD10408,2025-07-25,in-progress
AUTOSITE Bike Mobile Holder  (Black),ORD10409,2025-06-05,shipped
KORYAK Men Striped Casual Jacket,ORD10410,2025-08-04,in-progress
YASHNET 2 FINGER 45MM 50FT LONG LENTGH 4FT HEIGHT Aquarium Fish Net  (1090 cm x 700 cm),ORD10411,2025-05-20,in-progress
Medigrip Kinesiology Tape Sports 5 cm X 5 m (Pack of 1 Roll)  (Blue),ORD10412,2024-12-13,in-progress
CASIO FX-82ES Plus 2nd Edition Scientific  Calculator  (12 Digit),ORD10413,2025-02-22,in-progress
USTRAA Dry Skin (Mint Cool)  - 200 g Face Wash  (200 g),ORD10414,2025-08-26,in-progress
SAYERA Bow & Braids Bellies For Women  (Black),ORD10415,2025-06-26,shipped
Wakefit Amoeba Double Solid Wood Sofa Bed  (Finish Color - Malibu Green Mechanism Type - Fold Out Delivery Condition - Pre-assembled),ORD10416,2025-07-09,shipped
FTC FASHIONS Boys Festive & Party Kurta and Pyjama Set  (Yellow Pack of 1),ORD10417,2025-06-01,delivered
"SanDisk Cruze Blade SDCZ50 64 GB Pen Drive  (Red, Black)",ORD10418,2025-09-15,delivered
LEVI'S Cotton Boxer shorts Solid Men Boxer,ORD10419,2024-12-21,in-progress
CAMPUS ROYCE-2 Running Shoes For Men  (Blue),ORD10420,2025-04-30,in-progress
VACULACE Sparkler Gun for Sparkular Cold pyro for Private Parties Functions Pubs Events  Gun  (Black),ORD10421,2025-03-08,delivered
Ariel Brief For Boys  (Multicolor Pack of 6),ORD10422,2025-09-07,shipped
Feather Green Printed Multicolor Lungi,ORD10423,2025-05-22,delivered
"DENVER Hamilton, Caliber and Pride Combo Deodorant Spray  -  For Men  (600 ml, Pack of 3)",ORD10424,2025-08-08,delivered
konvio neer Red Manual Digital pH Meter,ORD10425,2025-01-11,in-progress
"PHILIPS Inverter Bulb 12 Watt Rechargeable Emergency LED Bulb for Home, Cool Daylight, Base B22 Bulb Emergency Light - Pack of 2 4 hrs Bulb Emergency Light  (White)",ORD10426,2025-05-20,in-progress
Rene V-Neck Women Blouse,ORD10427,2025-05-13,shipped
Jompers Men Pyjama,ORD10428,2025-05-24,shipped
PU-OZONE Velcro Sports Sandals For Boys  (Multicolor),ORD10429,2025-03-14,in-progress
BLIVE Men Cargos,ORD10430,2024-12-26,shipped
"Trend TE-Magic Silicone Dish Washing Gloves, Silicon Cleaning Gloves, Silicon Hand Gloves for Kitchen Dishwashing and Pet Grooming Set (Free Size 1 PAIR) (BLUE) Wet and Dry Glove  (Free Size)",ORD10431,2025-04-27,delivered
CASIO FC-200V Financial  Calculator  (10 Digit),ORD10432,2025-06-15,delivered
Knight ace Running Shoes For Women  (Grey),ORD10433,2025-07-19,in-progress
LuvLap Turtle Shaped Baby & Toddler Toothbrush Extra Soft Toothbrush,ORD10434,2025-03-29,in-progress
Paragon Women Purple Wedges Sandal,ORD10435,2025-05-14,shipped
"University Trendz Silver, Leather Bracelet Set  (Pack of 4)",ORD10436,2025-06-29,delivered
Ruhi Collection Fancy Classic Chain Unisex (1 Pcs) Alloy Chain,ORD10437,2025-06-06,delivered
mininest Boys & Girls Full Sleeve Printed Sweatshirt,ORD10438,2025-08-27,shipped
"Wakefit Auriga Sheesham Solid Wood King Bed  (Finish Color - Natural, Delivery Condition - DIY(Do-It-Yourself))",ORD10439,2025-07-09,delivered
Red Robin Step Light Wall Lamp With Bulb,ORD10440,2025-04-12,delivered
"HOD Casual, Formal, Party Multicolor  Clutch",ORD10441,2025-08-10,in-progress
ULTRAVIOLET Men Co-ords Multicolor Printed,ORD10442,2025-08-02,in-progress
"100 Selected Poems, William Wordsworth  (English, Hardcover, Wordsworth William)",ORD10443,2025-01-25,delivered
"Trend Level Pure Wool Solid Women [""Beige""] Salwar",ORD10444,2025-02-21,delivered
Kamiliant by American Tourister Medium Check-in Suitcase (68 cm) - Kam Triprism Sp - Red,ORD10445,2024-11-25,shipped
